/diseases/search?disease='fabio' [GET, 404, testclient, 2022-03-14 22:53:19.851751, 0.0564s, 65B]
/diseases/search/outbreaks?location='AU' [GET, 404, testclient, 2022-03-14 22:53:19.900563, 0.0299s, 68B]
/diseases/search/outbreaks?location='123' [GET, 404, testclient, 2022-03-14 22:53:19.943480, 0.0309s, 68B]
/diseases/search/outbreaks?location='fabio' [GET, 404, testclient, 2022-03-14 22:53:19.976364, 0.0229s, 68B]
/v1/alive [GET, 200, testclient, 2022-03-14 22:55:08.439789, 0.002s, 17B]
/diseases/search?disease='Smallpox' [GET, 404, testclient, 2022-03-14 22:55:09.061688, 0.6139s, 65B]
/diseases/search?disease='123' [GET, 404, testclient, 2022-03-14 22:55:09.293067, 0.0279s, 65B]
/diseases/search?disease='fabio' [GET, 404, testclient, 2022-03-14 22:55:09.336950, 0.0339s, 65B]
/diseases/search/outbreaks?location='AU' [GET, 404, testclient, 2022-03-14 22:55:09.377888, 0.029s, 68B]
/diseases/search/outbreaks?location='123' [GET, 404, testclient, 2022-03-14 22:55:09.431146, 0.0373s, 68B]
/diseases/search/outbreaks?location='fabio' [GET, 404, testclient, 2022-03-14 22:55:09.473207, 0.0201s, 68B]
/v1/alive [GET, 200, testclient, 2022-03-14 22:55:52.688847, 0.001s, 17B]
/diseases/search?disease='Smallpox' [GET, 404, testclient, 2022-03-14 22:55:53.257855, 0.561s, 65B]
/diseases/search?disease='123' [GET, 404, testclient, 2022-03-14 22:55:53.469738, 0.0274s, 65B]
/diseases/search?disease='fabio' [GET, 404, testclient, 2022-03-14 22:55:53.507763, 0.0274s, 65B]
/diseases/search/outbreaks?location='AU' [GET, 404, testclient, 2022-03-14 22:55:53.544194, 0.0235s, 62B]
/diseases/search/outbreaks?location='123' [GET, 404, testclient, 2022-03-14 22:55:53.578838, 0.0253s, 63B]
/diseases/search/outbreaks?location='fabio' [GET, 404, testclient, 2022-03-14 22:55:53.612060, 0.022s, 65B]
/v1/alive [GET, 200, testclient, 2022-03-14 22:56:17.361021, 0.001s, 17B]
/diseases/search?disease='Smallpox' [GET, 404, testclient, 2022-03-14 22:56:17.969161, 0.6002s, 65B]
/diseases/search?disease='123' [GET, 404, testclient, 2022-03-14 22:56:18.187323, 0.0287s, 65B]
/diseases/search?disease='fabio' [GET, 404, testclient, 2022-03-14 22:56:18.218116, 0.0208s, 65B]
/diseases/search/outbreaks?location='AU' [GET, 404, testclient, 2022-03-14 22:56:18.253902, 0.0218s, 63B]
/diseases/search/outbreaks?location='123' [GET, 404, testclient, 2022-03-14 22:56:18.283612, 0.0198s, 64B]
/diseases/search/outbreaks?location='fabio' [GET, 404, testclient, 2022-03-14 22:56:18.331478, 0.0379s, 66B]
/v1/alive [GET, 200, testclient, 2022-03-14 22:56:43.986898, 0.002s, 17B]
/diseases/search?disease='Smallpox' [GET, 404, testclient, 2022-03-14 22:56:44.596945, 0.6031s, 65B]
/diseases/search?disease='123' [GET, 404, testclient, 2022-03-14 22:56:44.819528, 0.0222s, 65B]
/diseases/search?disease='fabio' [GET, 404, testclient, 2022-03-14 22:56:44.854467, 0.026s, 65B]
/diseases/search/outbreaks?location='AU' [GET, 404, testclient, 2022-03-14 22:56:44.894875, 0.0264s, 63B]
/diseases/search/outbreaks?location='123' [GET, 404, testclient, 2022-03-14 22:56:44.938975, 0.0338s, 64B]
/diseases/search/outbreaks?location=fabio [GET, 404, testclient, 2022-03-14 22:56:44.970796, 0.0228s, 64B]
/v1/alive [GET, 200, testclient, 2022-03-14 22:57:24.238545, 0.002s, 17B]
/diseases/search?disease='Smallpox' [GET, 404, testclient, 2022-03-14 22:57:24.821783, 0.5743s, 65B]
/diseases/search?disease='123' [GET, 404, testclient, 2022-03-14 22:57:25.027991, 0.0237s, 65B]
/diseases/search?disease='fabio' [GET, 404, testclient, 2022-03-14 22:57:25.072807, 0.0357s, 65B]
/diseases/search/outbreaks?location='AU' [GET, 404, testclient, 2022-03-14 22:57:25.115857, 0.0301s, 63B]
/diseases/search/outbreaks?location='123' [GET, 404, testclient, 2022-03-14 22:57:25.159728, 0.028s, 64B]
/diseases/search/outbreaks?location=fabio [GET, 404, testclient, 2022-03-14 22:57:25.198645, 0.026s, 64B]
/v1/alive [GET, 200, testclient, 2022-03-14 22:57:43.879583, 0.001s, 17B]
/diseases/search?disease='Smallpox' [GET, 404, testclient, 2022-03-14 22:57:44.463218, 0.5749s, 65B]
/diseases/search?disease='123' [GET, 404, testclient, 2022-03-14 22:57:44.704519, 0.0359s, 65B]
/diseases/search?disease='fabio' [GET, 404, testclient, 2022-03-14 22:57:44.743415, 0.0289s, 65B]
/diseases/search/outbreaks?location='AU' [GET, 404, testclient, 2022-03-14 22:57:44.787298, 0.0309s, 62B]
/diseases/search/outbreaks?location='123' [GET, 404, testclient, 2022-03-14 22:57:44.823202, 0.0259s, 63B]
/diseases/search/outbreaks?location='fabio' [GET, 404, testclient, 2022-03-14 22:57:44.859104, 0.0259s, 65B]
/v1/alive [GET, 200, testclient, 2022-03-14 22:57:52.299075, 0.0s, 17B]
/diseases/search?disease='Smallpox' [GET, 404, testclient, 2022-03-14 22:57:52.894211, 0.5842s, 65B]
/diseases/search?disease='123' [GET, 404, testclient, 2022-03-14 22:57:53.099640, 0.0239s, 65B]
/diseases/search?disease='fabio' [GET, 404, testclient, 2022-03-14 22:57:53.136931, 0.0249s, 65B]
/diseases/search/outbreaks?location='AU' [GET, 404, testclient, 2022-03-14 22:57:53.180642, 0.0218s, 62B]
/diseases/search/outbreaks?location='123' [GET, 404, testclient, 2022-03-14 22:57:53.210587, 0.021s, 63B]
/diseases/search/outbreaks?location=fabio [GET, 404, testclient, 2022-03-14 22:57:53.240746, 0.0212s, 63B]
/v1/alive [GET, 200, testclient, 2022-03-14 22:58:06.477965, 0.001s, 17B]
